3
0.67,0.6,0.92,1
0.93,0.69,0.61,1
0.75,0.51,0.79,1
0.67,0.85,0.56,1
0.55,0.8,0.77,1
0.55,0.88,0.43,0
0.84,0.53,0.4,1
0.9,0.92,0.62,1
0.91,0.73,0.82,1
0.77,0.63,0.73,1
0.91,0.45,0.83,1
0.45,0.54,0.78,0
0.71,0.99,0.97,1
0.66,0.45,0.55,0
0.83,0.88,0.75,1
0.81,0.56,0.77,1
0.91,0.45,0.73,1
0.72,0.41,0.47,0
0.61,0.5,0.41,0
0.47,0.68,0.67,0
0.88,0.52,0.59,1
0.83,0.57,0.74,1
0.74,0.5,0.6,1
0.44,0.51,0.53,0
0.96,0.51,0.99,1
0.8,0.68,0.71,1
0.46,0.8,0.51,0
0.58,0.65,0.73,1
0.74,0.42,0.92,1
0.87,0.58,0.87,1
0.87,0.91,0.74,1
0.73,0.42,0.5,0
0.47,0.9,0.76,1
0.7,0.46,0.85,1
0.58,0.45,0.55,0
0.62,0.98,0.81,1
0.56,0.52,0.49,0
0.69,0.59,0.7,1
0.88,0.76,0.84,1
0.86,0.88,0.54,1
0.63,0.86,0.91,1
0.48,0.94,0.99,1
0.58,0.69,0.65,0
0.89,0.67,0.65,1
0.88,0.57,0.97,1
0.51,0.85,0.94,1
0.95,0.69,0.69,1
0.54,0.49,0.41,0
0.54,0.88,0.95,1
0.74,0.97,0.71,1
0.83,0.52,0.4,1
0.84,0.69,0.49,1
0.53,0.7,0.63,0
0.54,0.53,0.4,0
0.78,0.44,0.78,1
0.66,0.93,0.43,1
0.72,0.67,0.94,1
0.63,0.43,0.43,0
0.9,0.82,0.82,1
0.42,0.98,0.62,0
0.84,0.44,0.52,1
0.79,0.42,0.91,1
0.52,0.4,0.81,0
0.46,0.74,0.5,0
0.78,0.8,0.59,1
0.76,0.92,0.52,1
0.57,0.82,0.51,0
0.97,0.64,0.53,1
0.93,0.72,0.59,1
0.54,0.82,0.53,0
0.61,0.82,0.62,1
0.9,0.71,0.55,1
0.78,0.43,0.86,1
0.91,0.42,0.46,1
0.97,0.77,0.85,1
0.77,0.65,0.58,1
0.44,0.73,0.84,0
0.86,0.92,0.65,1
0.65,0.65,0.74,1
0.9,0.93,0.47,1
0.48,0.43,0.91,0
0.8,0.79,0.7,1
0.47,0.48,0.64,0
0.46,0.75,0.81,0
0.52,0.86,0.71,1
0.7,0.6,0.66,1
0.71,0.71,0.68,1
0.42,0.5,0.81,0
0.93,0.74,0.65,1
0.51,0.47,0.99,1
0.94,0.46,0.44,1
0.72,0.66,0.52,1
0.83,0.45,0.49,1
0.94,0.7,0.55,1
0.48,0.96,0.92,1
0.64,0.88,0.61,1
0.43,0.9,0.4,0
0.99,0.97,0.59,1
0.91,0.85,0.48,1
0.74,0.88,0.41,1
0.89,0.44,0.46,1
0.81,0.93,0.67,1
0.92,0.97,0.94,1
0.68,0.46,0.82,1
0.68,0.67,0.7,1
0.54,0.51,0.63,0
0.95,0.97,0.51,1
0.44,0.59,0.63,0
0.92,0.79,0.81,1
0.43,0.45,0.47,0
0.74,0.55,0.94,1
0.49,0.67,0.65,0
0.54,0.82,0.46,0
0.43,0.82,0.97,1
0.75,0.98,0.42,1
0.44,0.53,0.81,0
0.5,0.48,0.43,0
0.51,0.86,0.91,1
0.67,0.47,0.67,1
0.92,0.84,0.67,1
0.76,0.48,0.72,1
0.47,0.44,0.44,0
0.56,0.57,0.97,1
0.95,0.63,0.85,1
0.95,0.57,0.75,1
0.4,0.47,0.52,0
0.87,0.42,0.94,1
0.87,0.95,0.63,1
0.42,0.64,0.69,0
0.74,0.7,0.66,1
0.98,0.86,0.52,1
0.84,0.8,0.63,1
0.67,0.94,0.66,1
0.5,0.65,0.54,0
0.74,0.6,0.93,1
0.64,0.45,0.5,0
0.73,0.6,0.55,1
0.5,0.42,0.5,0
0.54,0.42,0.89,1
0.47,0.63,0.49,0
0.79,0.66,0.62,1
0.6,0.92,0.62,1
0.79,0.6,0.57,1
0.64,0.71,0.4,0
0.62,0.55,0.89,1
0.74,0.44,0.89,1
0.54,0.45,0.73,0
0.45,0.5,0.64,0
0.84,0.97,0.86,1
0.77,0.84,0.71,1
0.94,0.68,0.58,1
0.79,0.5,0.68,1
0.8,0.73,0.92,1
0.44,0.45,0.69,0
0.54,0.54,0.49,0
0.52,0.96,0.75,1
0.49,0.62,0.44,0
0.64,0.82,0.66,1
0.91,0.95,0.94,1
0.74,0.57,0.41,0
0.85,0.7,0.64,1
0.62,0.76,0.66,1
0.52,0.53,0.96,1
0.46,0.56,0.89,0
0.93,0.92,0.53,1
0.58,0.67,0.56,0
0.65,0.59,0.63,1
0.79,0.63,0.75,1
0.63,0.63,0.59,0
0.88,0.67,0.83,1
0.86,0.73,0.67,1
0.47,0.93,0.74,1
0.91,0.78,0.74,1
0.65,0.73,0.69,1
0.98,0.87,0.61,1
0.58,0.62,0.7,1
0.6,0.84,0.66,1
0.78,0.53,0.52,1
0.59,0.54,0.73,1
0.55,0.69,0.89,1
0.81,0.84,0.96,1
0.92,0.73,0.95,1
0.74,0.48,0.83,1
0.95,0.99,0.81,1
0.58,0.41,0.77,0
0.85,0.4,0.87,1
0.69,0.76,0.8,1
0.61,0.86,0.57,1
0.78,0.64,0.92,1
0.69,0.6,0.49,0
0.7,0.68,0.54,1
0.48,0.65,0.42,0
0.96,0.59,0.56,1
0.67,0.61,0.92,1
0.83,0.65,0.53,1
0.7,0.82,0.4,1
0.91,0.67,0.59,1
0.91,0.83,0.45,1
0.48,0.93,0.41,0
0.69,0.62,0.49,0
